Date	SP500
2003-11-01	1058.20
2003-10-01	1050.70
2003-09-01	996.00
2003-08-01	1008.00
2003-07-01	990.30
2003-06-01	974.50
2003-05-01	963.60
2003-04-01	916.90
2003-03-01	848.20
2003-02-01	841.10
2003-01-01	855.70
2002-12-01	879.80
2002-11-01	936.30
2002-10-01	885.80
2002-09-01	815.30
2002-08-01	916.10
2002-07-01	911.60
2002-06-01	989.80
2002-05-01	1067.10
2002-04-01	1076.90
2002-03-01	1147.40
2002-02-01	1106.70
2002-01-01	1130.20
2001-12-01	1148.10
2001-11-01	1139.50
2001-10-01	1059.80
2001-09-01	1040.90
2001-08-01	1133.60
2001-07-01	1211.20
2001-06-01	1224.40
2001-05-01	1255.80
2001-04-01	1249.50
2001-03-01	1160.30
2001-02-01	1239.90
2001-01-01	1366.00
2000-12-01	1320.30
2000-11-01	1315.00
2000-10-01	1429.40
2000-09-01	1436.50
2000-08-01	1517.70
2000-07-01	1430.80
2000-06-01	1454.60
2000-05-01	1420.60
2000-04-01	1452.40
2000-03-01	1498.60
2000-02-01	1366.40
2000-01-01	1394.50
1999-12-01	1469.20
1999-11-01	1388.90
1999-10-01	1362.90
1999-09-01	1282.70
1999-08-01	1320.40
1999-07-01	1328.70
1999-06-01	1372.70
1999-05-01	1301.80
1999-04-01	1335.20
1999-03-01	1286.40
1999-02-01	1238.30
1999-01-01	1279.60
1998-12-01	1229.20
1998-11-01	1163.60
1998-10-01	1098.70
1998-09-01	1017.00
1998-08-01	957.30
1998-07-01	1120.70
1998-06-01	1133.80
1998-05-01	1090.80
1998-04-01	1111.80
1998-03-01	1101.80
1998-02-01	1049.30
1998-01-01	980.30
1997-12-01	970.40
1997-11-01	955.40
1997-10-01	914.60
1997-09-01	947.30
1997-08-01	899.50
1997-07-01	954.30
1997-06-01	885.10
1997-05-01	848.30
1997-04-01	801.30
1997-03-01	757.10
1997-02-01	790.80
1997-01-01	786.20
1996-12-01	740.70
1996-11-01	757.00
1996-10-01	705.30
1996-09-01	687.30
1996-08-01	652.00
1996-07-01	640.00
1996-06-01	670.60
1996-05-01	669.10
1996-04-01	654.20
1996-03-01	645.50
1996-02-01	640.40
